title,location,area,size,rooms,sqm_m2,price_VND,price_num,len(price),price_normalized,price_usd,trieu_met_vuong,usd_per_sqm,province,country
Chung cư KDC Vĩnh Lộc D'Gold 38m² 1PN,Binh Chanh,38 m² - 1 PN,38 m²,1 PN,38,760 triệu,760,4,760,"$33,333",20,$0.88,thanh pho ho chi minh,vietnam
Cần bán Chung cư Ehomes Nam sài gòn 40m² 1 PN,Binh Chanh,40 m² - 1 PN,40 m²,1 PN,40,"1,17 tỷ",1.17,4,1170,"$51,316",29.25,$1.28,thanh pho ho chi minh,vietnam
Chung cư Khu căn hộ Amazing City 42m² 1PN,Binh Chanh,42 m² - 1 PN,42 m²,1 PN,42,550 triệu,550,4,550,"$24,123",13.1,$0.57,thanh pho ho chi minh,vietnam
"Thật 100%, căn hộ 42m2 Saigon Mia, giá chỉ 1,8 Tỷ",Binh Chanh,42 m² - 1 PN,42 m²,1 PN,42,"1,8 tỷ",1.8,3,1800,"$78,947",42.86,$1.88,thanh pho ho chi minh,vietnam
Chung cư Ehomes Nam Sài Gòn 46m² 1 PN,Binh Chanh,46 m² - 1 PN,46 m²,1 PN,46,"1,049 tỷ",1.049,5,1049,"$46,009",22.8,$1.00,thanh pho ho chi minh,vietnam
West Gate Mở Bán GĐ1 40 Căn Shophouse Giá Siêu Tốt,Binh Chanh,50 m² - 1 PN,50 m²,1 PN,50,100 triệu,100,4,100,"$4,386",2,$0.09,thanh pho ho chi minh,vietnam
Cần bán gấp căn hộ SAIGON Mia khu Trung Sơn,Binh Chanh,50.17 m² - 1 PN,50.17 m²,1 PN,50,"2,7 tỷ",2.7,3,2700,"$118,421",53.82,$2.36,thanh pho ho chi minh,vietnam
Cần bán căn hộ Lovera Vista giá tốt,Binh Chanh,54 m² - 1 PN,54 m²,1 PN,54,"1,75 tỷ",1.75,4,1750,"$76,754",32.41,$1.42,thanh pho ho chi minh,vietnam
Nhà bán 4x10m giá 1ty100tr 1/đường vĩnh lộc,Binh Chanh,40 m² - 2 PN,40 m²,2 PN,40,"1,1 tỷ",1.1,3,1100,"$48,246",27.5,$1.21,thanh pho ho chi minh,vietnam
cần bán gấp chính chủ ký bán,Binh Chanh,48 m² - 2 PN,48 m²,2 PN,48,"1,6 tỷ",1.6,3,1600,"$70,175",33.33,$1.46,thanh pho ho chi minh,vietnam
Bán gấp thấp hơn thị trường 50m2 chỉ 1.3 tỷ 2PN,Binh Chanh,50 m² - 2 PN,50 m²,2 PN,50,"1,38 tỷ",1.38,4,1380,"$60,526",27.6,$1.21,thanh pho ho chi minh,vietnam
CHÍNH CHỦ BÁN CĂN HỘ 50M2 GIÁ 1TY42 BAO THUẾ PHÍ,Binh Chanh,50 m² - 2 PN,50 m²,2 PN,50,"1,42 tỷ",1.42,4,1420,"$62,281",28.4,$1.25,thanh pho ho chi minh,vietnam
Chính chủ bán căn 50m2 2PN 2WC,Binh Chanh,50 m² - 2 PN,50 m²,2 PN,50,"1,5 tỷ",1.5,3,1500,"$65,789",30,$1.32,thanh pho ho chi minh,vietnam
"căn hộ full nội thất, giá chỉ 1.5 tỷ tại HCM",Binh Chanh,50 m² - 2 PN,50 m²,2 PN,50,"1,5 tỷ",1.5,3,1500,"$65,789",30,$1.32,thanh pho ho chi minh,vietnam
Căn Hộ Sài Gòn Intela 50m² 2PN 2WC Giá Tốt,Binh Chanh,50 m² - 2 PN,50 m²,2 PN,50,"1,5 tỷ",1.5,3,1500,"$65,789",30,$1.32,thanh pho ho chi minh,vietnam
Căn hộ Ehome S Mizuki 50m² nhà đẹp y hình,Binh Chanh,50 m² - 2 PN,50 m²,2 PN,50,"1,63 tỷ",1.63,4,1630,"$71,491",32.6,$1.43,thanh pho ho chi minh,vietnam
Chung cư Mizuki Park 50m² 2 PN đầy đủ nội thất,Binh Chanh,50 m² - 2 PN,50 m²,2 PN,50,"1,65 tỷ",1.65,4,1650,"$72,368",33,$1.45,thanh pho ho chi minh,vietnam
"Bán căn 50m2, 2 phòng ngủ, khu đô thị Mizuki Park",Binh Chanh,50 m² - 2 PN,50 m²,2 PN,50,"1,69 tỷ",1.69,4,1690,"$74,123",33.8,$1.48,thanh pho ho chi minh,vietnam
CẦN BÁN GẤP CĂN 2PN GIÁ 1TY450 TẶNG FULL NỘI THẤT,Binh Chanh,51 m² - 2 PN,51 m²,2 PN,51,"1,45 tỷ",1.45,4,1450,"$63,596",28.43,$1.25,thanh pho ho chi minh,vietnam
